Stats
CPU,Threads,Memory,Framework
2.3,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.2,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.2,65,3544.0,Vapor
2.8,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.3,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.2,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.3,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.3,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.0,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.8,65,3544.0,Vapor
2.4,65,3544.0,Vapor
1.9,65,3544.0,Vapor
2.3,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.3,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.3,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.4,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.7,65,3544.0,Vapor
1.7,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.7,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.5,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.6,65,3544.0,Vapor
2.3,65,3544.0,Vapor
1.2,65,3560.0,Vapor
0.0,65,3560.0,Vapor
0.0,59,3488.0,Vapor
0.2,39,3240.0,Vapor
0.1,19,3000.0,Vapor
0.1,2,2792.0,Vapor
0.0,2,2792.0,Vapor
0.0,2,2792.0,Vapor
0.0,3,1400.0,Kitura
0.0,3,1400.0,Kitura
0.0,3,1400.0,Kitura
0.0,3,1400.0,Kitura
0.0,3,1400.0,Kitura
0.0,3,1400.0,Kitura
